Time,Freq_Dev_Area1,Freq_Dev_Area2,Mechanical_Power_Area1,Mechanical_Power_Area2,Rotor_Angle_Area1,Rotor_Angle_Area2,Tie_Line_Power,UPFC_Series_Voltage,UPFC_Shunt_Voltage,SVC_Susceptance,SSSC_Series_Voltage,STATCOM_Current,AGC_Control_Area1,AGC_Control_Area2,UPFC_Series_Control,UPFC_Shunt_Control,SVC_Control,SSSC_Control,STATCOM_Control
20.830000000000002,0.2792319128710752,-0.2815184150366782,-26.96171590886649,24.221061340940757,0.055691850097586815,-0.08111315284708052,0.005989398651373779,-0.8428468996298948,-0.5944936586664635,0.04410326265292415,-0.9999999999999998,5.0,-318.1663425993461,309.434819001266,-0.7879298553089507,-0.5622470030331363,0.0402835994203905,-3.0,5.0
20.84,0.25194082203326046,-0.25091789339527176,-32.49764928835774,28.660563697183054,0.07323650862005872,-0.09880147653766994,0.00770264103884114,-0.7697406450469624,-0.5494563675110721,0.04283501394374045,1.0000000000000002,5.0,-298.1737466260075,286.08690807489177,-0.6966343904640299,-0.5044190763556806,0.039030267816189346,3.0,5.0
20.85,0.21913391744623728,-0.21480027784242472,-37.383221577799084,32.5252805207475,0.08906641733284001,-0.11456711274856618,0.010173480392879679,-0.6798413047861087,-0.49248796320538313,0.04157314219696927,-0.9999999999999998,5.0,-271.7374473197597,256.5288868167254,-0.5899419645252552,-0.4355195588996942,0.037787526956655715,-3.0,5.0
20.86,0.18146521525408832,-0.1738893100284265,-41.51063549959389,35.7295293812899,0.10283500743686903,-0.12806341224574233,0.011358580452416778,-0.5749545096320735,-0.42471280281424745,0.03117985664772695,1.0000000000000002,5.0,-239.37123931861464,221.3434077078126,-0.47006771447803825,-0.35693764242311177,0.0,3.0,5.0
20.87,0.13969804900183874,-0.12901757460246663,-44.787369663498765,38.200971677066214,0.11423680317935572,-0.13898919982420438,0.01322030810557441,-0.4571704309822319,-0.3474848374316589,0.023384892485795214,-0.9999999999999998,5.0,-201.71803938975597,181.23383816741392,-0.33938635233239034,-0.27025687204907045,0.0,-3.0,5.0
20.88,0.09468570059103293,-0.08110468984957411,-47.138237305417164,39.882273777757604,0.1230142904686558,-0.14709561311530603,0.013727637823235642,-0.3289112357740894,-0.2623739131466821,0.01753866936434641,1.0000000000000002,5.0,-159.5367907793818,137.01481652491012,-0.2006520405659469,-0.17726298886170533,0.0,3.0,5.0
20.89,0.0473579870873197,-0.03114344530401729,-48.507099549904844,40.732384232852446,0.12896356849619162,-0.15219157107136805,0.01485678421536286,-0.19279254927095052,-0.1711207731909118,0.013154002023259809,-0.9999999999999998,5.0,-113.68763551798054,89.59122604585481,-0.05667386276781164,-0.07986763323514147,0.0,-3.0,5.0
20.900000000000002,-0.001301855636470367,0.01982564234328449,-48.8581814093227,40.727554068085176,0.1319391585826381,-0.15414837145085958,0.014591824472624698,-0.05165916902512957,-0.0756147744205713,0.009865501517444857,1.0000000000000002,5.0,-65.11403277905096,39.944279221951994,0.08947421122069137,0.019891224349769185,0.0,3.0,5.0
20.91,-0.05027358738575652,0.07073102086134556,-48.17697310347593,39.861920121094194,0.1318573605805667,-0.15290268960409234,0.014925020439609905,0.09156312171823433,0.022158332696318755,0.007399126138083642,-0.9999999999999998,5.0,-14.823803229713606,-10.89327247388133,0.2347854124615982,0.11993143981320878,0.0,-3.0,5.0
20.92,-0.09852526663976346,0.1204975048897938,-46.47068159260062,38.14779273576941,0.12869857792455278,-0.14845852849371416,0.013857108446381432,0.23383917932907944,0.12014438529031161,0.005549344603562732,1.0000000000000002,5.0,36.13213069257458,-61.85402666461128,0.37611523693992455,0.21813043788430447,0.0,3.0,5.0
